agent_type,id,demand,demand_function,fitness,objective_function,utility_function,learning_algorithm,risk_aversion,informed,signal,dfx_beta0,dfx_beta1,la_crossover_rate,la_mutation_rate
0.00,1.00,-0.15,1.00,-1.01,1.00,1.00,1.00,0.14,1.00,0.39,15.05,-3.64,0.49,0.91
0.00,2.00,-0.15,1.00,-13.07,1.00,1.00,1.00,0.80,1.00,0.39,15.05,-3.64,0.90,0.23
0.00,3.00,0.46,1.00,-529.18,1.00,1.00,1.00,0.54,1.00,0.39,14.28,-2.32,0.83,0.82
0.00,4.00,0.46,1.00,-1012.47,1.00,1.00,1.00,0.57,1.00,0.39,16.62,-5.33,0.26,0.69
0.00,5.00,-2.18,1.00,-4.60,1.00,1.00,1.00,0.31,1.00,0.39,17.00,-4.52,0.05,0.29
0.00,6.00,-2.18,1.00,-16184172.42,1.00,1.00,1.00,0.86,1.00,0.39,14.96,-1.87,0.68,0.02
0.00,7.00,-4.59,1.00,-401643314099143.12,1.00,1.00,1.00,0.80,1.00,0.39,15.51,-4.32,0.67,0.61
0.00,8.00,-0.78,1.00,-12.98,1.00,1.00,1.00,0.69,1.00,0.39,15.51,-4.32,0.15,0.40
0.00,9.00,-2.97,1.00,-287.90,1.00,1.00,1.00,0.36,1.00,0.39,16.96,-6.41,0.40,0.42
0.00,10.00,-2.01,1.00,-1.26,1.00,1.00,1.00,0.26,1.00,0.39,16.96,-6.41,0.19,0.98
0.00,11.00,-2.16,1.00,-705507.37,1.00,1.00,1.00,0.75,1.00,0.39,16.96,-6.41,0.42,0.68
0.00,12.00,-2.16,1.00,-2205.08,1.00,1.00,1.00,0.54,1.00,0.39,15.83,-5.42,0.59,0.45
0.00,13.00,-4.98,1.00,-341173787007714.38,1.00,1.00,1.00,0.74,1.00,0.39,16.41,-5.85,0.64,0.68
0.00,14.00,-4.98,1.00,-16329899183843618816.00,1.00,1.00,1.00,0.94,1.00,0.39,16.90,-6.25,0.24,0.50
0.00,15.00,-3.23,1.00,-67.91,1.00,1.00,1.00,0.30,1.00,0.39,17.08,-4.05,0.44,0.37
0.00,16.00,-5.63,1.00,-2017.64,1.00,1.00,1.00,0.24,1.00,0.39,17.08,-4.05,0.70,0.21
